City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Date
191,Le Vauclin,MQ,14.5452,-60.8388,77.0,83,75,11.5,broken clouds,2021-01-17 23:04:01
192,Nynashamn,SE,58.9034,17.9479,28.4,93,90,5.75,overcast clouds,2021-01-17 23:04:01
193,Matamoros,MX,25.5333,-103.25,75.2,9,1,10.13,clear sky,2021-01-17 23:04:01
194,Havre-Saint-Pierre,CA,50.2334,-63.5986,33.8,100,90,14.97,mist,2021-01-17 23:04:01
195,Alofi,NU,-19.0595,-169.9187,87.8,58,75,9.22,broken clouds,2021-01-17 23:04:01
196,Iquitos,PE,-3.7481,-73.2472,91.4,52,20,6.91,few clouds,2021-01-17 23:03:09
197,Bambanglipuro,ID,-7.95,110.2833,75.85,82,96,3.18,overcast clouds,2021-01-17 23:04:02
198,Norman Wells,CA,65.282,-126.8329,-9.4,77,90,2.3,overcast clouds,2021-01-17 23:04:02
199,Guarda,PT,40.5373,-7.2658,34.0,66,6,8.01,clear sky,2021-01-17 23:04:02
200,Santa Fe,AR,-31.6333,-60.7,75.99,41,0,3.0,clear sky,2021-01-17 23:04:02
201,Bredasdorp,ZA,-34.5322,20.0403,68.0,77,54,9.22,broken clouds,2021-01-17 23:04:03
202,Visnes,NO,59.3556,5.2242,39.0,93,90,13.8,overcast clouds,2021-01-17 23:04:03
203,Mar Del Plata,AR,-38.0023,-57.5575,63.0,77,75,12.66,broken clouds,2021-01-17 22:59:10
204,Manta,EC,-0.95,-80.7333,82.4,69,40,9.22,scattered clouds,2021-01-17 23:01:42
205,Batemans Bay,AU,-35.7167,150.1833,71.01,66,0,3.0,clear sky,2021-01-17 23:00:14
206,Ostrovnoy,RU,68.0531,39.5131,18.0,96,99,14.72,light snow,2021-01-17 23:04:04
207,Port Elizabeth,ZA,-33.918,25.5701,66.2,82,75,2.3,broken clouds,2021-01-17 23:02:08
208,Olafsvik,IS,64.8945,-23.7142,36.45,94,99,4.56,overcast clouds,2021-01-17 23:04:04
209,Kargala,RU,56.6208,83.9607,17.01,88,100,14.0,overcast clouds,2021-01-17 23:04:04
210,Barra Do Garcas,BR,-15.89,-52.2567,74.21,88,100,2.35,light rain,2021-01-17 23:00:53
211,Santa Cruz De Tenerife,ES,28.4682,-16.2546,61.0,87,20,4.61,few clouds,2021-01-17 23:04:05
212,Dikson,RU,73.5069,80.5464,-24.34,84,48,19.8,scattered clouds,2021-01-17 23:02:18
213,Thompson,CA,55.7435,-97.8558,-7.6,77,75,3.44,broken clouds,2021-01-17 23:00:11
214,Verkh-Usugli,RU,52.7,115.1667,-24.16,81,0,2.06,clear sky,2021-01-17 23:04:05
215,Nikolskoye,RU,59.7035,30.7861,18.0,93,75,6.71,snow,2021-01-17 23:04:05
